sep=;
Date;Bid;Ask;Opening price;High price;Low price;Closing price;Average price;Total volume;Turnover;Trades;
2014-12-30;6,56;6,57;6,61;6,62;6,52;6,56;6,58;9827957;64619925,352;4401;
2014-12-29;6,64;6,65;6,66;6,70;6,56;6,64;6,63;9265321;61461570,898;5092;
2014-12-23;6,64;6,64;6,51;6,65;6,51;6,64;6,60;8494108;56063151,078;4458;
2014-12-22;6,50;6,51;6,47;6,55;6,47;6,50;6,51;10223529;66518540,2;5433;
2014-12-19;6,47;6,47;6,60;6,60;6,39;6,47;6,47;23045330;149112946,56;10088;
2014-12-18;6,54;6,54;6,45;6,55;6,38;6,54;6,49;28387468;184298997,852;9904;
2014-12-17;6,32;6,33;6,25;6,33;6,17;6,33;6,26;17768576;111191567,48;7468;
2014-12-16;6,28;6,29;6,25;6,33;6,05;6,29;6,19;31662098;196085763,143;14840;
2014-12-15;6,19;6,20;6,38;6,46;6,19;6,19;6,31;19987098;126189017,195;8737;
2014-12-12;6,38;6,38;6,53;6,55;6,38;6,38;6,46;17614642;113723292,28;7260;
2014-12-11;6,54;6,54;6,54;6,59;6,50;6,54;6,55;14551368;95353507,05;7129;
2014-12-10;6,59;6,60;6,59;6,69;6,57;6,59;6,62;19094231;126448397,225;8308;
2014-12-09;6,51;6,52;6,71;6,73;6,51;6,51;6,58;25651377;168908956,005;11611;
2014-12-08;6,82;6,82;6,77;6,84;6,76;6,82;6,80;10478484;71289427,775;4692;
2014-12-05;6,79;6,80;6,64;6,80;6,63;6,80;6,73;19217185;129369345,86;7854;
2014-12-04;6,57;6,58;6,70;6,76;6,55;6,57;6,63;22681601;150477773,23;9382;
2014-12-03;6,68;6,68;6,66;6,71;6,63;6,68;6,66;19736708;131490016,858;8376;
2014-12-02;6,77;6,78;6,70;6,78;6,63;6,78;6,72;16130867;108460897,78;6441;
2014-12-01;6,69;6,70;6,67;6,72;6,62;6,70;6,69;11075862;74055768,68;5531;
2014-11-28;6,69;6,70;6,71;6,72;6,61;6,69;6,67;21556791;144011737,522;6334;
2014-11-27;6,68;6,69;6,60;6,71;6,59;6,69;6,67;12800448;85395482,085;6264;
2014-11-26;6,59;6,59;6,56;6,64;6,56;6,59;6,60;10000876;66019878,61;4975;
2014-11-25;6,54;6,55;6,58;6,62;6,54;6,55;6,57;17612719;115787648,585;5221;
2014-11-24;6,56;6,57;6,50;6,61;6,47;6,57;6,55;19797727;129772743,716;9532;
2014-11-21;6,53;6,54;6,26;6,54;6,25;6,54;6,45;27226835;175644915,842;12007;
2014-11-20;6,28;6,28;6,21;6,34;6,14;6,28;6,26;19946829;124782932,82;8672;
2014-11-19;6,20;6,20;6,38;6,39;6,20;6,20;6,27;18973920;119021158,86;8284;
